"Keyword","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021"
"christmas sweets",1800,350,450,"India","",2,38,1000,5400,210,70,50,40,50,70,70,140,170,320,1300,6600,260,90,110,110,110,90,140,170,170,480,1300,6600,390,140,140,140,140,140,170,210,210,390,1600,8100,480,170,140,140,90,140,140,260,320,590,1900,9900,720,260,170,260,210,210,320,390,480,590,3600,14800,880,320,320,260,210,260,390,390,590
"christmas desserts",1200,190,210,"India","",5,,,,,,,,,,,,,,18,110,110,40,50,30,30,40,50,70,90,210,720,2900,110,70,90,50,50,90,90,110,110,170,720,2900,110,50,70,40,50,50,70,70,90,260,1000,4400,170,90,70,140,110,110,140,170,210,390,2400,9900,320,140,170,140,210,170,170,210,260
"christmas candy",1500,430,480,"India","0.02",59,,,,,,,,,,,,,,,,,,,,,,110,110,110,140,480,2900,210,90,110,140,140,140,110,170,170,170,590,,,,140,110,110,140,140,140,170,260,1600,6600,390,210,210,210,260,320,390,320,480,590,1600,12100,880,320,390,320,390,480,480,480,480
"christmas dessert ideas",80,10,10,"India","",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,210,10,0,0,0,10,0,0,10,10,50,140,480,10,10,10,10,0,0,10,10,10,10,210,720,10,10,10,10,10,10,10,10,20
"easy christmas desserts",70,10,10,"India","",0,,,,,,,,,,,,,,,,,10,0,10,10,0,0,0,10,10,40,320,10,10,10,10,10,10,10,20,10,,40,260,10,10,10,10,10,10,10,10,10,10,50,320,10,10,10,10,10,10,10,10,10,20,70,720,20,20,10,10,10,10,10,10,10
"panettone cake",170,130,150,"India","0.01",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,90,260,90,20,10,40,30,30,40,40,40,50,110,720,170,140,140,110,140,90,170,140,140
"traditional christmas desserts",90,10,10,"India","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,110,10,10,10,10,10,10,10,10,10,10,70,170,10,10,10,10,10,10,10,20,20,30,210,720,40,20,10,10,20,10,20,10,20
"classic christmas desserts",30,10,10,"India","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,10,10,0,0,0,0,10,0,10,10,30,40,0,10,10,10,10,10,0,10,10,10,70,210,10,10,10,10,10,10,10,10,10
"xmas desserts",20,10,10,"India","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,110,10,0,0,10,10,10,10,10,10,10,90,170,10,10,10,10,10,20,10,10,0,10,50,170,0,10,10,10,10,10,10,10,10
"hard christmas candy",10,10,10,"India","",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,30,10,0,10,0,0,10,10,10,10
