"Keyword","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021"
"diwali faral",4900,740,1000,"Anywhere","0.05",4,11,"",260,390,4400,14800,390,210,170,170,110,170,170,260,390,1300,27100,2900,480,320,390,320,260,170,320,390,880,2900,33100,1300,480,320,260,320,260,320,320,480,590,1300,14800,22200,720,320,210,260,210,210,210,320,590,1900,33100,5400,720,480,390,320,480,320,390,590,1000,"",12100,40500,1000,480,390,480,390,480,480,480,720,1900
"diwali faral online",830,60,120,"Anywhere","0.02",99,,"",10,50,880,1900,20,10,10,10,10,10,20,10,20,260,,,,10,10,10,10,10,10,10,30,170,3600,30,20,10,10,20,10,10,10,20,40,210,2400,1900,20,10,10,20,20,20,20,30,50,210,3600,140,20,20,10,10,20,20,20,40,70,"210",2900,6600,70,20,10,10,10,10,10,50,70,260
"diwali faral price list 2020",660,70,120,"Anywhere","0.00",24,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,"0",2900,4400,90,30,20,30,30,50,30,30,70,260
"diwali faral list in marathi",620,130,200,"Anywhere","",0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2900,3600,70,50,30,50,50,70,90,110,110,390
"diwali faral list",480,160,250,"Anywhere","",1,,"",,,,,,,,,,,,,,,3600,210,70,40,50,50,50,30,90,110,210,590,3600,210,70,50,30,40,20,50,50,90,170,320,1900,2900,50,30,10,10,0,10,10,10,90,90,2900,50,10,10,10,20,70,70,20,50,90,"170",880,3600,70,40,70,140,90,70,90,110,170,480
"diwali faral recipe",270,30,50,"Anywhere","",2,,"",,,,,,,,,,,,,,,,,,,,,20,40,50,110,140,720,9900,110,50,30,50,50,70,70,50,70,70,210,3600,3600,90,30,30,20,10,20,30,20,50,390,5400,210,20,10,20,20,70,40,30,40,70,"70",590,2400,50,20,20,20,20,20,10,20,20,110
"homemade diwali faral near me",20,40,70,"Anywhere","",4,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",6,20,20,10,10,10,10,20,10,20,40,170
"diwali faral items",190,10,10,"Anywhere","0.02",59,,"",10,10,40,70,10,0,10,10,0,0,10,0,,,210,10,10,10,10,10,10,0,10,10,10,40,590,10,10,10,10,10,10,10,10,10,10,20,140,90,10,10,10,10,10,0,10,10,10,70,880,110,20,20,10,10,10,30,50,140,110,"170",880,1300,40,20,10,30,10,10,10,10,10,30
"chitale bandhu diwali faral online",150,20,30,"Anywhere","0.06",55,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,10,10,10,"30",390,1300,10,10,10,10,10,10,10,10,10,70
"list of diwali faral",110,10,10,"Anywhere","",1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",260,880,50,30,40,20,10,10,10,10,10,20
